T_in,C_A0,tau,V,T,C_A,C_B,C_C,success,residual_norm
327.13107687448854,1.0202475915095615,3.3442462197771303,1.7590903163144727,324.3381762764187,1.0200156856755327,0.00023190377019892015,2.063829983044872e-09,True,4.368715977423614e-17
313.9127637477889,1.0639649400322737,5.942204985244699,1.5248747665180427,311.4519511540512,1.0638064212010283,0.00015851797491786473,8.563275248918975e-10,True,4.21110526167744e-18
319.82182838618587,1.8005201171464758,1.5468353250963511,1.730920035354724,318.9664809558364,1.8003939585786217,0.0001261582324530428,3.354010614793682e-10,True,4.9255386474199776e-17
323.84442498192067,1.0153132439243364,2.918876596244641,1.4479730429848008,321.6236308720904,1.0151488841608494,0.00016435873801651666,1.025470545960247e-09,True,2.1116621295521015e-17
303.3380721807569,1.4048389590413826,2.1788605592754164,1.8074684638128833,303.16867809980033,1.404800299807383,3.8659197413067125e-05,3.658661285206947e-11,True,4.615341323478158e-17
327.3248296094033,1.9773122148176197,1.6814197674005622,1.2312922492535434,326.2883737146087,1.9770511966707793,0.0002610167828992313,1.3639410003232085e-09,True,5.4550795048769864e-17
321.32831804062175,1.6645400613593782,2.69228888919715,0.7679797251885891,319.73255730760627,1.6643247980514388,0.00021526224682674548,1.0611123338874545e-09,True,8.514032043447473e-17
338.97916771652274,1.2426024036723022,6.491675346969168,1.4064560592772373,333.1021078615748,1.2415692515376724,0.0010331168007801646,3.53338496944364e-08,True,3.8980101581808504e-18
359.1779319406455,0.819364942171129,0.6995735175786578,0.6649486719230552,358.749505383338,0.8189716987859652,0.00039323455542218617,8.829741669602045e-09,True,1.247799811938358e-16
314.648378777206,1.206661252078186,3.0910227112712962,1.5352351774838306,313.21582456513596,1.2065535280412083,0.00010772368449098253,3.524868453210126e-10,True,2.3706565713647052e-17
328.28082881573516,1.1782070786252228,2.710543161931874,0.8897462255000503,326.02021723571914,1.1779612656287295,0.00024581096931897974,2.0271741575385897e-09,True,5.795061716770345e-17
340.31026683338325,0.8518037172022582,3.605155433862562,0.7145783767659556,336.24474582103306,0.8513138045460884,0.0004899008715997527,1.1784570040873158e-08,True,1.418296292048971e-17
345.71053021197883,1.3214932097347631,6.896671077506644,0.9850115629383935,340.14978122453783,1.3195960097305728,0.001897083631076259,1.1637311408260313e-07,True,7.916198513145224e-17
326.6312217707939,0.8655913551680479,3.3829342701895144,0.9860674954983042,323.738807526542,0.8654010125801554,0.00019034095476083446,1.633131699102932e-09,True,3.651400344290273e-17
332.79719501822,1.1989783855425844,1.5697285606471614,1.6069630439395242,331.36730659598624,1.1987650658575308,0.00021331813955731844,1.5454960709477713e-09,True,1.1059827060519024e-16
350.0143753243232,1.3741362309461231,7.350682513464283,0.5604003791302535,346.008078011845,1.3710358485339955,0.003100074211814511,3.0820031320598803e-07,True,1.4812208699423015e-17
343.1178451810809,1.942433595261945,2.826924465022763,0.05452568183848549,342.5498619993728,1.9410898050981762,0.0013437499774450515,4.018632380895909e-08,True,4.540181382827053e-17
304.74890295061215,0.8390516310864551,5.945425525642168,1.9955746365431581,303.94558366098374,0.8389843376039401,6.729329595271056e-05,1.8656223891486267e-10,True,7.867295423000433e-18
345.73365722214356,0.8508188402419722,3.4692727054046495,1.1364652128659993,341.7306047368482,0.8501350308984781,0.0006837856835788288,2.365991518345684e-08,True,2.840847595359876e-17
318.37488069818863,1.1028255825719806,2.5070884804560447,1.552770808097395,316.8734706968787,1.102719063373893,0.00010651881253784633,3.855496893372517e-10,True,1.6949623371348827e-17
313.9512980587999,0.8912030497743777,2.9327708068343625,0.07551340478735298,312.5679917589198,0.8911313668374459,7.16827264445666e-05,2.1048733228027063e-10,True,2.4431178240527053e-17
344.02218415018245,1.890442621344121,6.528702854099034,1.21459464611631,342.3019999322415,1.8874743593440888,0.0029680606202743976,2.0137975784574393e-07,True,8.076119451017597e-18
307.9045597513578,1.9577353354947329,0.9190658556778157,1.72693859666576,307.70791360330935,1.9577020912362229,3.3244238519273135e-05,1.999060500570329e-11,True,1.7460173223143019e-16
334.405064207773,1.1146950157936308,1.1801579671236655,1.5311933691262465,333.266648447381,1.1145244472790647,0.00017056744072325135,1.07384284446843e-09,True,3.0053064328439666e-17
326.2575448413518,1.76166755493115,5.719616789208438,1.6215834755996976,322.6464108645347,1.7610640824768882,0.0006034644379821999,8.016279606186238e-09,True,8.880796228001948e-18
339.4080123441696,1.9112501751836648,1.2570089133357136,0.05239828961261494,338.86867448106227,1.9107911390845875,0.00045903142530869,4.67376877906096e-09,True,1.609763605188727e-16
326.3644519032352,1.3580112694295756,4.931248147034495,0.22995646662334168,322.80910451869096,1.3576052474852536,0.00040601723273385964,4.711588266008524e-09,True,1.8325818466597977e-17
350.03972127424584,1.3043081375880006,4.544670444455534,0.3056595218621516,347.6069589701161,1.3022879818940905,0.002020016826806904,1.3886710304147933e-07,True,6.890465608394991e-17
321.19756334990745,0.8245974680273518,7.965764343910893,0.2569722742040064,316.28993547602255,0.8243557180125253,0.00024174736764358962,2.647182944155711e-09,True,3.534239332741052e-18
317.9960044869668,1.6864783501895269,3.8332114821759604,0.4999696603974549,316.08800674761784,1.6862441163114226,0.00023423266466075237,1.2134434334366553e-09,True,3.0277139470431714e-17
327.93737884496886,1.5607504984785399,1.8201810936224838,0.16349157417401378,326.5969201036126,1.560522363352285,0.00022813380391729346,1.3223377469639644e-09,True,4.647143029127261e-17
322.3939810261644,1.4754045663818594,6.590842839468091,1.4923788448829194,318.4876368717959,1.4749801152773119,0.0004244464835795072,4.620967936893202e-09,True,5.207201211052523e-18
326.84732049776636,1.5875576410384997,7.16214915100734,1.8638775756924444,322.1316197963132,1.586902565175093,0.0006550654120844679,1.0451322342952388e-08,True,1.0913066747107564e-17
309.1006753617571,1.7561615829787063,5.2976674419459995,0.5129271654048516,307.8674967142125,1.755987422667637,0.0001741596987823449,6.122868522208052e-10,True,4.230424274209254e-18
302.2106523679689,1.5044860946202991,7.644955408040057,0.7850790564021024,301.998858003465,1.5043546473254947,0.00013144690284124462,3.9196326043846337e-10,True,1.5077762089518563e-17
327.34341142770234,1.5600812731646698,3.6044183981450844,0.9050549997661107,324.77806088542866,1.5596863997154156,0.0003948695261827242,3.923071591094562e-09,True,1.674643198390185e-17
354.867879683586,0.8600529044184897,1.3284922321066532,1.8833818284799722,353.74158476777677,0.8594772470947547,0.0005756397170586415,1.7606676383585007e-08,True,3.179278447490431e-17
347.91251631913184,1.7454296471654507,1.58837017243605,1.567186131089361,347.9685588562191,1.7444615052407964,0.0009681180710862038,2.3853568059019506e-08,True,4.3403864059030233e-17
329.0509220623585,1.4351008641748195,6.334408344092505,0.6189150907178418,324.38941234296243,1.434480765441955,0.0006200882372451871,1.0495619619869751e-08,True,3.2414740870725595e-17
333.4636686247315,1.2947578887680584,3.217333602857612,0.9297136181185583,330.67496365184115,1.2943085718949165,0.0004493105467729435,6.326368825428419e-09,True,3.6626249902164503e-17
312.2170765351161,1.5612701343238173,4.68922416331519,0.31055648324356877,310.6148389678017,1.5610985721573882,0.00017156148645235144,6.799768026397926e-10,True,1.0526916439138277e-17
334.0576901987267,1.8263915407934654,1.8973615114770894,1.0892364830438919,332.8384495113173,1.8259556253126135,0.0004359112097768625,4.271074981741408e-09,True,7.164520731146016e-17
318.95364017806094,1.800198189505191,6.040312487644413,0.5180967644425656,316.0426472634322,1.7998056261242135,0.0003925601885969988,3.1923805509439064e-09,True,1.0154023102459292e-17
344.39913049875975,0.9935274006361614,6.641908137822239,1.923787898075709,337.4097798521442,0.9923872928052669,0.0011400527439995869,5.5086894841226194e-08,True,8.169099802383116e-18
307.40857534696516,1.1902334950297189,4.189876864700181,1.4843071508100012,306.495304583163,1.1901501710057485,8.332381898667206e-05,2.0498353180721475e-10,True,6.052022239608247e-17
